INSERT INTO `Musika`.`album` (`albumId`, `albumName`, `albumDescription`, `albumPhoto`) VALUES ('1', 'Central every.', 'Respond point wear agency how now hold keep beat my mind radio American measure whose play goal positive try present spring south attorney establish site indicate travel job piece blue million data everybody job detail body still tough or increase worry indicate she finally range question political point common contain according themselves develop son contain hard up local sister attorney guess line decade within enjoy course toward entire then second material billion economy need court while affect fine near hundred world less across future full popular rule not really ok.', 'https://dspncdn.com/a1/media/originals/88/68/df/8868dfeb685d91da7c8c20541ccf71ac.jpg');
INSERT INTO `Musika`.`album` (`albumId`, `albumName`, `albumDescription`, `albumPhoto`) VALUES ('2', 'Process hotel.', 'Meeting truth experience direction news lay stuff arm magazine face public week may week social stay whose course front marriage first team response participant change street friend customer believe week than development color line structure suddenly newspaper agreement outside west door paper lead risk wonder theory somebody difference bank reduce own weight could car above effect new former report short growth within price trouble professor half record card particularly collection want population per mother attack onto social go purpose here still.', 'https://dspncdn.com/a1/media/originals/88/68/df/8868dfeb685d91da7c8c20541ccf71ac.jpg');
INSERT INTO `Musika`.`album` (`albumId`, `albumName`, `albumDescription`, `albumPhoto`) VALUES ('3', 'Action his wear include.', 'Hard quickly however probably walk gun be year benefit seat hour deal once sister true direction beautiful catch throw interest night most nearly without can me beat environmental yeah per defense compare attorney outside pull apply federal issue here growth west almost plant knowledge old defense would state style economic pick stuff star Congress present believe newspaper question painting understand sing Republican everyone me lose day word.', 'https://dspncdn.com/a1/media/originals/ef/7d/3f/ef7d3fd16fb8acb8cdcc74c9c71e0551.jpg');
INSERT INTO `Musika`.`album` (`albumId`, `albumName`, `albumDescription`, `albumPhoto`) VALUES ('4', 'Hand bit us.', 'Whom consumer throughout area operation edge discuss pattern available debate evening himself question hospital best usually real class amount plant author forget modern try perhaps research responsibility discussion audience skin these hope yes across economy describe firm good suggest teach we official national wife eat reduce.', 'https://dspncdn.com/a1/media/originals/3e/3b/21/3e3b21f7d443f251f4ad858ebadf9cb9.jpg');
INSERT INTO `Musika`.`album` (`albumId`, `albumName`, `albumDescription`, `albumPhoto`) VALUES ('5', 'Sure likely me.', 'Security represent get really TV amount news maintain generation south staff discuss fall quite it appear concern newspaper ready wrong fear down lead suddenly indicate front position too trial all project perform teach business hit buy act you trial risk prove happy shake only note scientist before play forget want sea country article fill as majority foot show Mr scene whole development indicate any high grow public keep guess sit wonder long decade than return.', 'https://dspncdn.com/a1/media/originals/84/fa/b5/84fab505650ebe30a080bab8eb72af50.jpg');
INSERT INTO `Musika`.`album` (`albumId`, `albumName`, `albumDescription`, `albumPhoto`) VALUES ('6', 'Happen evidence.', 'His special anyone issue follow experience film paper drive remain half financial product director community realize medical these important wonder course sort skill shoulder wish commercial member practice plan toward establish we pretty this technology future administration group magazine box black small card sell society north southern gun prevent surface arrive model at produce operation.', 'https://dspncdn.com/a1/media/originals/b9/fc/21/b9fc21ddb150bae08808ff179a299841.jpg');
INSERT INTO `Musika`.`album` (`albumId`, `albumName`, `albumDescription`, `albumPhoto`) VALUES ('7', 'Popular security.', 'Chance long half wonder officer write sit door question eye away discover much much radio claim else job bit doctor even body start bring voice money vote color institution later be pay surface day benefit box education five significant network full help edge effect window worker space serious better perform ahead movement be machine keep factor doctor our such appear strategy.', 'https://dspncdn.com/a1/media/originals/92/d5/ea/92d5ea7e732745ac466ecb0d8aad93cb.jpg');
INSERT INTO `Musika`.`album` (`albumId`, `albumName`, `albumDescription`, `albumPhoto`) VALUES ('8', 'Section late civil.', 'Mother do local want yet animal itself health into go product main more box create record people boy ready left at activity population computer beat ground think clear morning ahead perform brother within save themselves onto also student training lead present note all decade among either significant stock over.', 'https://dspncdn.com/a1/media/originals/3e/3b/21/3e3b21f7d443f251f4ad858ebadf9cb9.jpg');
INSERT INTO `Musika`.`album` (`albumId`, `albumName`, `albumDescription`, `albumPhoto`) VALUES ('9', 'Want also bill.', 'Set anyone and right number see coach life control garden of real dark thus mission forget hope service opportunity already minute election read road it recently during move moment minute worker our western check really alone whatever man civil no agency method cause young piece happen participant Republican official believe when box hear result Mr international prove news vote look star really participant bill turn attention whom course be conference green sure order spend range owner subject measure particularly beat write others may thousand beautiful.', 'https://dspncdn.com/a1/media/originals/be/83/1c/be831c7710456d7061d924b0dd38fdb7.jpg');
INSERT INTO `Musika`.`album` (`albumId`, `albumName`, `albumDescription`, `albumPhoto`) VALUES ('10', 'Necessary huge country.', 'Race decision arrive bring chair suffer her trial media they should skill financial set election which speak today decide success bar raise thing shake for wide half thank level result especially commercial job open hold citizen skill industry everyone station somebody sit agent possible detail leader leg since five will number it behind nor school person analysis tonight benefit none week huge note house per receive letter forward half small sign so moment southern hundred lawyer coach deal hot tax above chance.', 'https://dspncdn.com/a1/media/originals/e0/1f/b5/e01fb5b948c7f4e6111499ee4431ddc4.jpg');
INSERT INTO `Musika`.`album` (`albumId`, `albumName`, `albumDescription`, `albumPhoto`) VALUES ('11', 'Join trade.', 'Body onto data past happen each court growth state but about fill much front growth popular our apply stuff whole federal least expert though world range now each against such entire card hour seek firm weight political sing exactly sell buy example simple walk friend under wrong teacher seat bag difference data use foreign economic manager explain behavior throughout visit.', 'https://dspncdn.com/a1/media/originals/be/83/1c/be831c7710456d7061d924b0dd38fdb7.jpg');
