INSERT INTO `Musika`.`artist` (`artistId`, `artistName`, `artistDescription`, `artistPhoto`) VALUES ('1', 'Tami Cabrera', 'Fight affect in war church affect cover room agency between source experience field list drop ok customer should miss year less fly subject contain produce anything option rest today finally pretty fill single space may information what miss around garden early reality leg than police range follow according explain financial happen back couple line offer across assume owner close fight blood tonight per much most media season protect state many reduce hair yourself woman seven guy lose yes less usually provide.', 'https://images.unsplash.com/photo-1428931996691-a5108d4cdbf5?ixlib=rb-0.3.5&ixid=eyJhcHBfaWQiOjEyMDd9&s=326965ad6677562aca7d59e8c7706236&auto=format&fit=crop&w=1234&q=80');
INSERT INTO `Musika`.`artist` (`artistId`, `artistName`, `artistDescription`, `artistPhoto`) VALUES ('2', 'Sarah Gentry', 'Feel face level war realize site series food despite next here hope carry realize degree you real them turn stuff including operation expert difficult between scientist same black director apply five our join sure ever fly air throw career about check material history accept race boy shake matter girl local bill energy friend production house either newspaper political fire financial letter per able common father federal institution game sit them admit any direction fire tonight phone weight.', 'https://images.unsplash.com/photo-1500048993953-d23a436266cf?ixlib=rb-0.3.5&ixid=eyJhcHBfaWQiOjEyMDd9&s=7042b0c0456ccd350c9ef83637b91092&auto=format&fit=crop&w=3298&q=80');
INSERT INTO `Musika`.`artist` (`artistId`, `artistName`, `artistDescription`, `artistPhoto`) VALUES ('3', 'Cheyenne Buck', 'Read stay player south camera collection similar so capital seem meet gun would visit data sometimes enough right understand class student back on close me enter return rise mean than look bit support or itself treat factor possible social which until figure whom ready couple next maybe pay way on.', 'https://images.unsplash.com/photo-1476983109555-18ebaf412d7c?ixlib=rb-0.3.5&ixid=eyJhcHBfaWQiOjEyMDd9&s=8c508869d7645131d98c453dd9ce0ae6&auto=format&fit=crop&w=2120&q=80');
INSERT INTO `Musika`.`artist` (`artistId`, `artistName`, `artistDescription`, `artistPhoto`) VALUES ('4', 'Cindy Bryant', 'Worry western writer reach become election responsibility save draw service ground agreement turn key analysis those this among suddenly character data election speak car least scientist throw start still tree prepare between shake check would product protect require be resource provide on join church the occur age reality arm summer some item available to social common turn center story hospital exist ability cause himself level ready his require particular happen risk red check author buy focus enter.', 'https://images.unsplash.com/photo-1437182630182-32b2926da244?ixlib=rb-0.3.5&ixid=eyJhcHBfaWQiOjEyMDd9&s=3d32e7c2568b2ba61fa490e998c33119&auto=format&fit=crop&w=1234&q=80');
INSERT INTO `Musika`.`artist` (`artistId`, `artistName`, `artistDescription`, `artistPhoto`) VALUES ('5', 'Megan Martinez', 'Agree size candidate total respond consumer line family show though conference step audience last maybe knowledge analysis series its wall society generation and throughout group drive city recognize fact event news receive court style hand responsibility leave kitchen too kind wish much family want Democrat organization maintain task standard imagine very.', 'https://images.unsplash.com/photo-1497021707778-a743a0bb2961?ixlib=rb-0.3.5&ixid=eyJhcHBfaWQiOjEyMDd9&s=45bf654dae7e7eb03c14768a0b40cb20&auto=format&fit=crop&w=2167&q=80');
INSERT INTO `Musika`.`artist` (`artistId`, `artistName`, `artistDescription`, `artistPhoto`) VALUES ('6', 'Timothy Green', 'Consumer send adult always trip quickly whose major authority usually join region top back summer build consider cost enough during determine difference human entire deal and claim feeling side sense and forward too major certainly indicate direction most bank call record Congress business American now drop card church health grow quality worker expect walk offer condition member even loss month they approach benefit our number long various fly this yes identify if pressure material between letter after account thus option them claim seat play maybe myself much few anyone chance soon for realize site nice.', 'https://images.unsplash.com/photo-1437182630182-32b2926da244?ixlib=rb-0.3.5&ixid=eyJhcHBfaWQiOjEyMDd9&s=3d32e7c2568b2ba61fa490e998c33119&auto=format&fit=crop&w=1234&q=80');
INSERT INTO `Musika`.`artist` (`artistId`, `artistName`, `artistDescription`, `artistPhoto`) VALUES ('7', 'Shelley Oneill', 'Word no lot current town stay rule describe base throughout create difficult seem public tell choice appear center prevent law above make exactly political difficult point own event many matter opportunity nice eat little gas than as world my it cut guy old though point know traditional clearly window professional offer though Mr modern together knowledge author machine management office peace despite behavior develop financial consider story traditional city share technology population ten stop common notice program ok record try on describe as item.', 'https://images.unsplash.com/photo-1504884790557-80daa3a9e621?ixlib=rb-0.3.5&ixid=eyJhcHBfaWQiOjEyMDd9&s=f105fd4834aecbe56af935dfb8bec57e&auto=format&fit=crop&w=1234&q=80');
INSERT INTO `Musika`.`artist` (`artistId`, `artistName`, `artistDescription`, `artistPhoto`) VALUES ('8', 'Nathan Washington', 'Pay message run debate who wall amount red reason explain power idea trip few area little eat push who we pattern party sing able person girl commercial for need notice think visit could out million trouble down wait though idea my show dream decision million mean how soon prepare soldier city store detail citizen after among move wall teacher together shoulder those face.', 'https://images.unsplash.com/photo-1497021707778-a743a0bb2961?ixlib=rb-0.3.5&ixid=eyJhcHBfaWQiOjEyMDd9&s=45bf654dae7e7eb03c14768a0b40cb20&auto=format&fit=crop&w=2167&q=80');
INSERT INTO `Musika`.`artist` (`artistId`, `artistName`, `artistDescription`, `artistPhoto`) VALUES ('9', 'Brian Le DDS', 'Every practice across half level on by pretty key word vote toward know several oil fill ability three school half eat be than walk middle lot appear north agency indicate subject near health account blood whether church sell party quickly point attack hold federal possible plan simply away stand rise because white.', 'https://images.unsplash.com/photo-1437182630182-32b2926da244?ixlib=rb-0.3.5&ixid=eyJhcHBfaWQiOjEyMDd9&s=3d32e7c2568b2ba61fa490e998c33119&auto=format&fit=crop&w=1234&q=80');
INSERT INTO `Musika`.`artist` (`artistId`, `artistName`, `artistDescription`, `artistPhoto`) VALUES ('10', 'Joann Casey', 'If continue sport effect business today office situation hospital success stop organization true base appear street him son cover one politics represent president center admit grow call history read opportunity itself guess human responsibility our Republican laugh direction energy end article someone shoulder civil PM into news great fear commercial stay glass.', 'https://images.unsplash.com/photo-1415769663272-8504c6cc02b3?ixlib=rb-0.3.5&ixid=eyJhcHBfaWQiOjEyMDd9&s=24994db1b18437be89bde7e9e1c81956&auto=format&fit=crop&w=1234&q=80');
INSERT INTO `Musika`.`artist` (`artistId`, `artistName`, `artistDescription`, `artistPhoto`) VALUES ('11', 'Jared Perez', 'Commercial down push item pass research mention a smile reach perform newspaper listen amount see head their where attorney whole value allow society either soldier key lose amount success age serious itself himself research operation commercial customer major respond wife administration trouble organization our yard would teacher minute police wear weight beautiful site strategy face teacher final record who environment most main spring enter agree any range later laugh society try dream fly truth once open.', 'https://images.unsplash.com/photo-1476983109555-18ebaf412d7c?ixlib=rb-0.3.5&ixid=eyJhcHBfaWQiOjEyMDd9&s=8c508869d7645131d98c453dd9ce0ae6&auto=format&fit=crop&w=2120&q=80');
