INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('1', 'Task.', '50:34', '23');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('2', 'Whose drop rich wear.', '34:09', '32');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('3', 'Program power sit.', '10:37', '17');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('4', 'Under probably necessary.', '12:01', '51');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('5', 'Finish seem chance.', '22:14', '7');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('6', 'Performance home soldier.', '55:12', '14');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('7', 'End organization while.', '26:24', '12');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('8', 'Picture find particularly.', '39:52', '24');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('9', 'Chance.', '06:33', '40');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('10', 'Play feel pull family.', '27:03', '42');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('11', 'South husband.', '04:47', '23');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('12', 'Simple court visit.', '41:03', '12');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('13', 'Knowledge top car.', '49:05', '32');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('14', 'Weight decade.', '11:57', '36');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('15', 'Be notice work.', '37:31', '4');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('16', 'Property occur.', '06:25', '20');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('17', 'True professor suggest.', '21:06', '57');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('18', 'Bit control appear.', '24:50', '11');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('19', 'Certainly though manager.', '19:01', '35');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('20', 'Six three.', '38:35', '58');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('21', 'Bring simply.', '57:57', '53');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('22', 'Song agent.', '08:20', '13');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('23', 'Cold get.', '06:07', '19');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('24', 'Wait make care.', '46:04', '28');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('25', 'Step note.', '14:07', '35');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('26', 'Itself business man.', '23:01', '26');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('27', 'Need anything whatever answer.', '48:26', '31');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('28', 'Institution amount.', '56:19', '23');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('29', 'Kid.', '18:00', '40');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('30', 'List within.', '00:25', '28');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('31', 'Sense little chance large.', '24:15', '48');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('32', 'Reach camera.', '16:15', '6');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('33', 'Their some article.', '30:45', '31');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('34', 'However act.', '30:24', '41');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('35', 'Employee president.', '00:32', '49');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('36', 'Trade nation practice.', '55:50', '27');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('37', 'Without this.', '05:36', '17');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('38', 'A share.', '46:52', '23');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('39', 'Collection truth never.', '24:19', '43');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('40', 'Read manage.', '06:21', '43');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('41', 'Process single.', '28:57', '56');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('42', 'Opportunity street collection.', '15:50', '43');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('43', 'Line group along.', '57:04', '19');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('44', 'Reality myself feeling.', '31:56', '17');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('45', 'Likely world total.', '08:03', '30');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('46', 'First husband.', '24:10', '21');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('47', 'Anything technology best.', '02:34', '35');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('48', 'Policy.', '45:02', '35');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('49', 'Hope we drop often.', '12:35', '21');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('50', 'Phone blood.', '42:01', '20');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('51', 'Behavior exist else state.', '57:12', '19');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('52', 'Various material Republican save.', '08:28', '21');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('53', 'Modern.', '16:16', '50');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('54', 'On these very.', '17:44', '21');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('55', 'None against hard.', '17:38', '41');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('56', 'Mouth season whom.', '36:13', '32');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('57', 'Late away.', '55:37', '35');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('58', 'Road no.', '15:20', '41');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('59', 'New drug.', '17:25', '13');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('60', 'Wonder today instead.', '54:41', '52');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('61', 'Congress hard.', '06:23', '4');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('62', 'Market politics test.', '44:17', '24');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('63', 'Tough her perhaps.', '21:01', '16');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('64', 'Worker hundred.', '08:01', '59');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('65', 'Something different.', '21:17', '16');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('66', 'Another skin cup.', '33:15', '22');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('67', 'Him serve.', '41:49', '34');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('68', 'Congress everyone by.', '57:42', '42');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('69', 'Professor star common.', '42:39', '53');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('70', 'Practice fast.', '31:54', '51');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('71', 'Home.', '09:56', '36');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('72', 'Film put life.', '53:21', '21');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('73', 'Clearly live.', '35:20', '59');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('74', 'All admit in.', '33:01', '29');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('75', 'Identify about.', '59:00', '54');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('76', 'Quite center.', '28:14', '12');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('77', 'Identify else major certain.', '45:43', '49');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('78', 'Southern reason left.', '40:21', '51');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('79', 'Idea nor edge.', '07:15', '20');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('80', 'Kid almost.', '38:56', '38');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('81', 'Gun they.', '03:49', '22');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('82', 'Tough return health.', '33:09', '56');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('83', 'Commercial language.', '45:11', '10');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('84', 'Arrive issue.', '45:54', '16');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('85', 'Cut.', '10:43', '53');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('86', 'Use long.', '33:47', '10');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('87', 'Attorney paper everyone.', '48:37', '59');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('88', 'Way range affect.', '38:08', '39');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('89', 'Stop red.', '56:32', '16');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('90', 'Animal candidate.', '56:24', '50');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('91', 'Avoid discover.', '05:45', '2');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('92', 'Economic early.', '27:41', '6');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('93', 'North buy commercial.', '05:31', '3');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('94', 'Box ball response.', '06:04', '27');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('95', 'Available body picture.', '38:02', '23');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('96', 'Huge particularly hope.', '56:18', '56');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('97', 'Since culture west.', '32:22', '48');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('98', 'Picture break.', '42:47', '25');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('99', 'News class organization.', '38:21', '45');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('100', 'Unit partner either.', '18:16', '59');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('101', 'Radio fight physical school.', '01:35', '17');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('102', 'History over.', '51:12', '59');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('103', 'Item enjoy.', '59:17', '40');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('104', 'Employee military painting.', '00:09', '21');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('105', 'Whom course.', '16:29', '9');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('106', 'Culture loss.', '46:48', '7');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('107', 'Result.', '39:52', '26');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('108', 'Position particular.', '23:54', '40');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('109', 'Interview road win.', '28:02', '41');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('110', 'Total community rate.', '02:02', '28');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('111', 'Current whom.', '18:50', '25');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('112', 'Next anything across.', '54:36', '48');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('113', 'Able thank.', '25:09', '14');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('114', 'Model before trouble.', '00:54', '5');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('115', 'A court.', '19:12', '53');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('116', 'Lose physical.', '14:41', '50');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('117', 'Up situation.', '00:37', '34');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('118', 'Research social.', '05:17', '49');
INSERT INTO `Musika`.`track` (`trackId`, `trackName`, `trackDuration`, `albumId`) VALUES ('119', 'Hear daughter west.', '58:28', '18');
